id_original,descricao,unidade,quantidade,preco_unit,preco_total,id_linha,codigo,descricao_norm,apelido_sugerido,alternativa,score,status,motivo,semelhantes,tax_tipo,tax_desconhecido,unidade_sugerida,revisar,apelido_desejado
6, DEMOLIÇÃO DE CONCRETO ARMADO  ,m3,39039.41,294.37,11492031.121700002,6,,demolicao de concreto armado,concreto_geral_m3,,100,revisar,Match exato,[],concreto,False,m3,True,demolicao_concreto_armado_m3
7, DEMOLIÇÃO DE CONCRETO SIMPLES  ,m3,63709.51,154.29,9829740.2899,7,,demolicao de concreto simples,concreto_geral_m3,,100,revisar,Match exato,[],concreto,False,m3,True,demolicao_concreto_m3
41, CONCRETO ASFÁLTICO USINADO A QUENTE  BINDER - GRADUAÇÃO B COM DOP  ,m3,10071.28,488.89,4923748.0792000005,41,,concreto asfaltico usinado a quente binder graduacao b com dop,concreto_geral_m3,,100,revisar,Match exato,[],concreto,False,m3,True,concreto_astaltico_binder_m3
43, CONCRETO ASFÁLTICO MODIFICADO POR POLÍMERO  ,m3,4343.57,637.36,2768417.7752,43,,concreto asfaltico modificado por polimero,concreto_geral_m3,,100,revisar,Match exato,[],concreto,False,m3,True,concreto_asfaltico_m3
58, CALÇAMENTO DE CONCRETO fck 15 MPa  ,m3,1706.98,610.14,1041496.7772,58,,calcamento de concreto fck 15 mpa,concreto_geral_m3,,100,revisar,Match exato,[],concreto,False,m3,True,calcada_concreto_m3
59, ALVENARIA DE BLOCO DE CONCRETO  ,m3,2271.85,460.87,1047027.5095,59,,alvenaria de bloco de concreto,concreto_estrutural_m3,,100,revisar,Match exato,[],concreto,False,m3,True,alvenaria_bloco_concreto_m2
68, SARJETA DE CONCRETO fck 20 MPa  ,m3,1599.94,603.32,965275.8008,68,,sarjeta de concreto fck 20 mpa,concreto_geral_m3,,100,revisar,Match exato,[],concreto,False,m3,True,sarjeta_m3
81, DEMOLIÇÃO DE GUIA EM CONCRETO ARMADO -PAREDE DIAFRAGMA  ,m3,1562.9,294.37,460070.873,81,,demolicao de guia em concreto armado parede diafragma,concreto_geral_m3,,100,revisar,Match exato,[],concreto,False,m3,True,demolicao_concreto_armado_m3
152, DEMOLIÇÃO DE CONCRETO ARMADO COM RECOLHIMENTO MARINHO DOS SEDIMENTOS  ,m3,882.0,387.64,341898.48,152,,demolicao de concreto armado com recolhimento marinho dos sedimentos,concreto_geral_m3,,100,revisar,Match exato,[],concreto,False,m3,True,demolicao_concreto_armado_m3
329,AÇO ASTM A36,kg,5565.0,16.07,89429.55,329,,aco astm a 36,armadura_passiva_kg,,100,revisar,Match exato,[],armadura,False,kg,True,aco_estrutural_kg
361, PISO ELEVADO COM ACABAMENTO VINÍLICO  ,m2,200.0,164.7,32940.0,361,,piso elevado com acabamento vinilico,concreto_piso_industrial_m2,,100,revisar,Match exato,[],concreto,False,m2,True,piso_elevado_m2
515, TOMADA 3P+T 32A -600/690V TIPO INDUSTRIAL  ,pç,31.0,148.65,4608.150000000001,515,,tomada 3 p t 32 a 600 690 v tipo industrial,obra_industrial_un,,100,revisar,Match exato,[],obra,False,pç,True,tomada_eletrica_32a_unid
636, CHAPA DE AÇO ASTM 572 GRAU 50  ,kg,239000.0,5.49,1312110.0,636,,chapa de aco astm 572 grau 50,armadura_passiva_kg,,100,revisar,Match exato,[],armadura,False,kg,True,aco_estrutural_kg
736," CHAPA RETA COM LARGURA DE 490 mm, EM AÇO ASTM A36  ",kg,646.8,17.13,11079.684,736,,chapa reta com largura de 490 mm em aco astm a 36,armadura_passiva_kg,,100,revisar,Match exato,[],armadura,False,kg,True,aco_estrutural_kg
746," CHAPA DE AÇO ASTM A-36, COM DIÂMETRO DE 1,20 m E ESPESSURA DE 1,3/4  ",kg,4705.44,10.94,51477.51359999999,746,,chapa de aco astm a 36 com diametro de 1 20 m e espessura de 1 3 4,armadura_passiva_kg,,100,revisar,Match exato,[],armadura,False,kg,True,aco_estrutural_kg
751," CHAPAS DE AÇO ASTM-A36, COM DIMENSÕES DE 0,50 X 0,50 m, COM ESPESSURA DE 1. 3/4, COM FUROS PASSANTES  ",kg,10401.3,11.68,121487.184,751,,chapas de aco astm a 36 com dimensoes de 0 50 x 0 50 m com espessura de 1 3 4 com furos passantes,armadura_passiva_kg,,100,revisar,Match exato,[],armadura,False,kg,True,aco_estrutural_kg
755, PERFIL METÁLICO W 530X109 EM AÇO ASTM A36  ,kg,70501.2,17.59,1240116.108,755,,perfil metalico w 530 x 109 em aco astm a 36,armadura_passiva_kg,,100,revisar,Match exato,[],armadura,False,kg,True,aco_estrutural_kg
861, DEMOLIÇÃO DE GUIA EM CONCRETO ARMADO -PAREDE DIAFRAGMA  ,m3,604.0,294.37,177799.48,861,,demolicao de guia em concreto armado parede diafragma,concreto_geral_m3,,100,revisar,Match exato,[],concreto,False,m3,True,demolicao_concreto_armado_m3
